air_id,name,type,lat,lon
41492,Pulau Panjang Airport,airstrip,-5.644444,106.5625
46490,Jatiwangi Airport,airstrip,-6.678375,108.2522194
311168,Santosa Hospital Helipad,helipad,-6.915161,107.600124
347113,Amandaratu Heliport,helipad,-7.37058,106.48564
356433,Citeurup Paraglider Airport,airstrip,-6.50814,106.87836
356434,Lido Airstrip,airstrip,-6.75333,106.81171
356435,Cikembar Airport,airstrip,-6.96924,106.78866
3273,Suparlan Batujajar Airport,airstrip,-6.903611,107.475556
3274,Rumpin Airport,airstrip,-6.371861,106.621861
46482,Atang Senjaya Airport,airstrip,-6.538819,106.755466
41455,Sulaiman Airport,airstrip,-6.98278,107.572998
333068,Kertajati International Airport,airport,-6.647384,108.165561
26824,Husein Sastranegara International Airport,airport,-6.90063,107.575996
26825,Cakrabhuwana  Airport,airstrip,-6.757,108.538849
26826,Cibeureum Airport,airstrip,-7.3466,108.246002
3272,Nusawiru Airport,airstrip,-7.719895,108.488995
32652,Kalijati Airport,airstrip,-6.53139019,107.6589966
