node_id,lat,lon
1673515911,-7.448841,107.1255089
1673515983,-7.4492273,107.1328394
1673516225,-7.4565386,107.3994432
1673516309,-7.4586763,107.147945
1673516313,-7.4588331,107.152327
1673516334,-7.4587444,107.4103003
1673516344,-7.4595169,107.154536
1673516398,-7.4609379,107.1540731
1673516423,-7.4626972,107.1566293
1673516439,-7.4651971,107.3910147
1673516514,-7.4723264,107.4116912
1673516536,-7.4747787,107.2136416
1673516568,-7.4782343,107.2176233
1673516601,-7.483624,107.3884202
1673516676,-7.4876448,107.2641134
1673516696,-7.4883647,107.4190046
1673516736,-7.4888304,107.3547528
1673516805,-7.489755,107.3518576
1673516893,-7.4911665,107.3617238
1673516928,-7.4918794,107.362522
1673516963,-7.4931395,107.4211661
1673517008,-7.494214,107.3721325
1673517045,-7.4948646,107.3779143
1673517065,-7.4960759,107.3827735
1673517089,-7.501758,107.4218849
1818025515,-7.4532604,107.1881598
1818025526,-7.4551848,107.1759869
1818025576,-7.461986,107.1785165
1818025673,-7.4676574,107.1862236
1818025691,-7.4679955,107.1857168
1818070632,-7.2588743,107.1122179
1818070672,-7.2665657,107.1158462
1818070698,-7.2714903,107.1263485
1818070851,-7.3394404,107.1297701
1818070863,-7.3465452,107.1292637
1818071194,-7.4002496,107.0967023
1818071214,-7.4043012,107.1356924
1818071253,-7.4095181,107.1601983
1818071281,-7.4154408,107.1612159
1818071333,-7.4210941,107.1559507
1818071492,-7.4476989,107.127303
1818071507,-7.4490836,107.1275629
1818071532,-7.4513264,107.1350871
1919191389,-7.4647875,107.1576284
1938315263,-7.2567132,107.3584714
1938315856,-7.2849648,107.3589543
1938315908,-7.2869803,107.3580243
1938315937,-7.2881855,107.3572049
1938315979,-7.2916053,107.3549518
1938341127,-7.2954921,107.3485162
1940232618,-7.3590131,107.3244897
1940232644,-7.3608817,107.3244444
1940232654,-7.3612086,107.3245504
1940233620,-7.4002172,107.3310627
1940233669,-7.4044478,107.3325526
1945957362,-7.4173181,107.3322689
1945957637,-7.4402092,107.3325654
1945957992,-7.4859318,107.3874793
1945958025,-7.4904036,107.3454728
2325338243,-7.2492946,107.1860698
2325338249,-7.23646,107.2072577
2325338268,-7.2414508,107.2014995
2325344320,-7.2286852,107.2084428
2460379962,-7.4809608,107.2254722
2460379976,-7.4721084,107.2314739
2460380052,-7.4510644,107.2575759
2460380097,-7.4363686,107.2613518
2460380111,-7.4310314,107.2605296
2460380122,-7.4253475,107.256752
2460380123,-7.4248552,107.2568071
2460380124,-7.424028,107.2565155
3033980626,-7.264409,107.3572531
4364184271,-7.266886,107.1867236
4364184487,-7.267051,107.186902
4364184496,-7.2692248,107.1897304
4364184632,-7.2263882,107.2132767
4364184651,-7.2286539,107.2174853
4364184708,-7.473807,107.2878826
4364184949,-7.4833343,107.2668774
4364184960,-7.4692106,107.2704635
4364185110,-7.4765669,107.2685217
4364187158,-7.4097775,107.2870772
4364189053,-7.3012732,107.328924
4364190269,-7.2865759,107.3555267
4364514811,-7.4229108,107.2553791
4364514946,-7.4221667,107.2557638
4364514951,-7.422982,107.2549665
4364524902,-7.3978885,107.2850888
4364524912,-7.4213876,107.2636006
4364524965,-7.423683,107.2848017
4364543949,-7.3877523,107.2858103
4364566609,-7.4005825,107.268599
4364566633,-7.3969094,107.2738729
4365123090,-7.4705915,107.1935829
4365123142,-7.4738882,107.2101588
4365123157,-7.4510846,107.1198583
4365123218,-7.4752378,107.2105577
4365123237,-7.46635,107.1963052
4365123297,-7.4407681,107.187296
4365123322,-7.4647759,107.1964269
4365123335,-7.4572339,107.2055923
4365123423,-7.4659218,107.1982582
4365123471,-7.4628202,107.2087077
4369472712,-7.3453607,107.2903034
4369472866,-7.3480527,107.2883349
4369472941,-7.3437899,107.3286239
4369472986,-7.353779,107.2841172
4369473115,-7.3486029,107.3180641
4380745759,-7.2555791,107.3612106
4380745806,-7.2570334,107.3650287
4380746015,-7.2610512,107.3698769
4380749050,-7.3080061,107.3301919
4380749108,-7.3073808,107.3261863
4386765747,-7.309506,107.1860394
4386765750,-7.3109099,107.1890295
4386765754,-7.3097173,107.1865867
4386765827,-7.3154835,107.1894903
4386765841,-7.3109784,107.1904212
4386765854,-7.3054622,107.1807938
4386915231,-7.3104777,107.1783752
4386915233,-7.3059611,107.1796251
4386915235,-7.3011501,107.1855167
4386915237,-7.3326199,107.1997022
4386915390,-7.3320825,107.1972088
4386915402,-7.3056426,107.1804368
4386915484,-7.3322046,107.1983806
4386915648,-7.3369407,107.2026044
4386915662,-7.3059065,107.1796398
4386915668,-7.3196631,107.1778696
4386924447,-7.3010916,107.1913327
4386936883,-7.2767344,107.133599
4386940227,-7.2558998,107.1539939
4386940232,-7.2766319,107.1317466
4386940606,-7.2752724,107.1317699
4386940633,-7.2764561,107.1401384
4386940648,-7.2674251,107.1237271
4386940663,-7.272737,107.1408597
4386940763,-7.2922988,107.1250064
4386940910,-7.2740844,107.1319256
4386940927,-7.2748988,107.1318001
4386945029,-7.2541469,107.1595971
4386945075,-7.2554504,107.1823476
4386947772,-7.251534,107.1640956
4386947787,-7.2506499,107.1630729
4386954164,-7.2698439,107.2079005
4386955662,-7.2687399,107.2058767
4386955664,-7.2710226,107.1926953
4386955668,-7.2805348,107.1802251
4386955679,-7.270918,107.1919784
4386955686,-7.2806513,107.1847624
4386955764,-7.2709735,107.1952208
4386955766,-7.2736524,107.187894
4387365958,-7.2139064,107.189903
4387366378,-7.2019614,107.21119
4387366409,-7.2130438,107.1948608
4387366436,-7.2031338,107.2097765
4387366486,-7.194108,107.2205478
4387368509,-7.2129905,107.1772028
4387368940,-7.2144069,107.1698385
4387393083,-7.3166582,107.1268489
4387399879,-7.2282004,107.1594157
4387399888,-7.2230516,107.1435917
4387399990,-7.2320162,107.157435
4387399994,-7.2266865,107.1451187
4387399997,-7.2289969,107.1470025
4387400037,-7.2254469,107.1438043
4387400064,-7.2366246,107.1532326
4387400110,-7.236387,107.149866
4387400130,-7.2256093,107.1439707
4387400131,-7.2191667,107.138541
4387400133,-7.2156451,107.1364046
4387400135,-7.2175887,107.1363822
4387400172,-7.2284352,107.1469848
4387400308,-7.2350848,107.1546316
4387489333,-7.274008,107.1891812
4387489426,-7.2403039,107.2202821
4387494173,-7.2829683,107.1720346
4387495430,-7.3049354,107.1642818
4387495444,-7.3040862,107.1658296
4387495457,-7.3065234,107.1600687
4387504900,-7.3044942,107.1268716
4387504909,-7.3050614,107.1261474
4387505217,-7.3045884,107.1250463
4387512056,-7.293287,107.1252367
4387520677,-7.3018809,107.0944585
4387520819,-7.3158115,107.084089
4387520826,-7.3118994,107.091396
4387520864,-7.3126577,107.0918191
